Experiment_ID,Average_Latency,Granularity,Request_Amount,Distribution,Iteration
coarse_high_burst_1,9.595562522499998,coarse_1,high,burst,1
coarse_high_burst_10,14.775895887049048,coarse_1,high,burst,10
coarse_high_burst_2,10.331660393624999,coarse_1,high,burst,2
coarse_high_burst_3,8.426679310374999,coarse_1,high,burst,3
coarse_high_burst_4,9.4366812485,coarse_1,high,burst,4
coarse_high_burst_5,10.070100694625001,coarse_1,high,burst,5
coarse_high_burst_6,10.073205575125002,coarse_1,high,burst,6
coarse_high_burst_7,10.310795540999997,coarse_1,high,burst,7
coarse_high_burst_8,8.412482113874997,coarse_1,high,burst,8
coarse_high_burst_9,10.110591608374998,coarse_1,high,burst,9
coarse_high_even_1,19.17776968874998,coarse_1,high,even,1
coarse_high_even_10,20.18090038525002,coarse_1,high,even,10
coarse_high_even_2,18.015629801250018,coarse_1,high,even,2
coarse_high_even_3,18.403473579874966,coarse_1,high,even,3
coarse_high_even_4,18.57282366412502,coarse_1,high,even,4
coarse_high_even_5,18.70582969087501,coarse_1,high,even,5
coarse_high_even_6,18.461408499249988,coarse_1,high,even,6
coarse_high_even_7,19.07375904024997,coarse_1,high,even,7
coarse_high_even_8,18.696184324124992,coarse_1,high,even,8
coarse_high_even_9,17.85543128875001,coarse_1,high,even,9
coarse_low_burst_1,17.430011425000032,coarse_1,low,burst,1
coarse_low_burst_10,16.4385969375,coarse_1,low,burst,10
coarse_low_burst_2,18.025161475000047,coarse_1,low,burst,2
coarse_low_burst_3,16.518377612500004,coarse_1,low,burst,3
coarse_low_burst_4,17.712793700000027,coarse_1,low,burst,4
coarse_low_burst_5,16.50475621249998,coarse_1,low,burst,5
coarse_low_burst_6,26.032382300000002,coarse_1,low,burst,6
coarse_low_burst_7,17.723017112499985,coarse_1,low,burst,7
coarse_low_burst_8,21.718125037500002,coarse_1,low,burst,8
coarse_low_burst_9,15.910301024999999,coarse_1,low,burst,9
coarse_low_even_1,18.16621469999967,coarse_1,low,even,1
coarse_low_even_10,17.297495799999872,coarse_1,low,even,10
coarse_low_even_2,20.233098900000147,coarse_1,low,even,2
coarse_low_even_3,38.39708224999979,coarse_1,low,even,3
coarse_low_even_4,18.33426718749954,coarse_1,low,even,4
coarse_low_even_5,21.755363512500168,coarse_1,low,even,5
coarse_low_even_6,39.22968908750018,coarse_1,low,even,6
coarse_low_even_7,17.004343262500047,coarse_1,low,even,7
coarse_low_even_8,18.807790137499644,coarse_1,low,even,8
coarse_low_even_9,17.781884475000044,coarse_1,low,even,9
coarse_med_burst_1,13.277714272500015,coarse_1,med_d2,burst,1
coarse_med_burst_10,17.239873338749998,coarse_1,med_d2,burst,10
coarse_med_burst_2,17.01819191625,coarse_1,med_d2,burst,2
coarse_med_burst_3,18.51357000499999,coarse_1,med_d2,burst,3
coarse_med_burst_4,18.021804461250003,coarse_1,med_d2,burst,4
coarse_med_burst_5,12.796197698749992,coarse_1,med_d2,burst,5
coarse_med_burst_6,18.240126755000002,coarse_1,med_d2,burst,6
coarse_med_burst_7,18.544916109999996,coarse_1,med_d2,burst,7
coarse_med_burst_8,13.058264611249998,coarse_1,med_d2,burst,8
coarse_med_burst_9,18.265531881249988,coarse_1,med_d2,burst,9
coarse_med_even_1,22.721781557499966,coarse_1,med_d2,even,1
coarse_med_even_10,15.341631451250164,coarse_1,med_d2,even,10
coarse_med_even_2,24.480493438750088,coarse_1,med_d2,even,2
coarse_med_even_3,16.577958834999908,coarse_1,med_d2,even,3
coarse_med_even_4,24.17427068249987,coarse_1,med_d2,even,4
coarse_med_even_5,23.306496087499813,coarse_1,med_d2,even,5
coarse_med_even_6,16.605116936249942,coarse_1,med_d2,even,6
coarse_med_even_7,18.44546847249987,coarse_1,med_d2,even,7
coarse_med_even_8,17.8061128049999,coarse_1,med_d2,even,8
coarse_med_even_9,21.69013676750003,coarse_1,med_d2,even,9
fine_high_burst_1,8.413428531500001,fine_d,high,burst,1
fine_high_burst_10,9.238985982000003,fine_d,high,burst,10
fine_high_burst_2,8.653240257750001,fine_d,high,burst,2
fine_high_burst_3,8.221821096750002,fine_d,high,burst,3
fine_high_burst_4,8.824189172625,fine_d,high,burst,4
fine_high_burst_5,7.534458258250001,fine_d,high,burst,5
fine_high_burst_6,7.577518516499998,fine_d,high,burst,6
fine_high_burst_7,7.587874116999999,fine_d,high,burst,7
fine_high_burst_8,7.649700128124996,fine_d,high,burst,8
fine_high_burst_9,7.864716566749999,fine_d,high,burst,9
fine_high_even_1,17.99551200199999,fine_d,high,even,1
fine_high_even_10,17.16857836874998,fine_d,high,even,10
fine_high_even_2,17.706640271624963,fine_d,high,even,2
fine_high_even_3,17.94933494312501,fine_d,high,even,3
fine_high_even_4,17.324399125874915,fine_d,high,even,4
fine_high_even_5,17.009784210500012,fine_d,high,even,5
fine_high_even_6,17.52803933612509,fine_d,high,even,6
fine_high_even_7,18.011472763125028,fine_d,high,even,7
fine_high_even_8,17.742220588124926,fine_d,high,even,8
fine_high_even_9,16.599766891875063,fine_d,high,even,9
fine_low_burst_1,21.378826587500008,fine_d,low,burst,1
fine_low_burst_10,19.880592712499997,fine_d,low,burst,10
fine_low_burst_2,22.590308899999975,fine_d,low,burst,2
fine_low_burst_3,19.545158799999967,fine_d,low,burst,3
fine_low_burst_4,16.194817199999996,fine_d,low,burst,4
fine_low_burst_5,22.787353687500023,fine_d,low,burst,5
fine_low_burst_6,28.249573862500036,fine_d,low,burst,6
fine_low_burst_7,21.093875462499984,fine_d,low,burst,7
fine_low_burst_8,19.30203646250002,fine_d,low,burst,8
fine_low_burst_9,20.848901074999993,fine_d,low,burst,9
fine_low_even_1,19.52557756250044,fine_d,low,even,1
fine_low_even_10,17.810736400000355,fine_d,low,even,10
fine_low_even_2,16.436049487500078,fine_d,low,even,2
fine_low_even_3,19.707672387499734,fine_d,low,even,3
fine_low_even_4,16.289052562499702,fine_d,low,even,4
fine_low_even_5,14.640132750000044,fine_d,low,even,5
fine_low_even_6,18.483925962500138,fine_d,low,even,6
fine_low_even_7,18.248309400000227,fine_d,low,even,7
fine_low_even_8,20.356292237499577,fine_d,low,even,8
fine_low_even_9,20.28866982500015,fine_d,low,even,9
fine_med_burst_1,16.995858546250005,fine_d,med_d2,burst,1
fine_med_burst_10,17.700925412500002,fine_d,med_d2,burst,10
fine_med_burst_2,18.31156500625,fine_d,med_d2,burst,2
fine_med_burst_3,17.107744427500005,fine_d,med_d2,burst,3
fine_med_burst_4,16.7050677375,fine_d,med_d2,burst,4
fine_med_burst_5,17.170780976250004,fine_d,med_d2,burst,5
fine_med_burst_6,18.022098499999995,fine_d,med_d2,burst,6
fine_med_burst_7,17.493947698750002,fine_d,med_d2,burst,7
fine_med_burst_8,17.590740675000006,fine_d,med_d2,burst,8
fine_med_burst_9,16.055733735,fine_d,med_d2,burst,9
fine_med_even_1,21.9074826987502,fine_d,med_d2,even,1
fine_med_even_10,22.688179008750105,fine_d,med_d2,even,10
fine_med_even_2,23.71376430625015,fine_d,med_d2,even,2
fine_med_even_3,20.40144081625004,fine_d,med_d2,even,3
fine_med_even_4,22.13239388000008,fine_d,med_d2,even,4
fine_med_even_5,22.148264948750064,fine_d,med_d2,even,5
fine_med_even_6,19.73187817999997,fine_d,med_d2,even,6
fine_med_even_7,21.803628011249966,fine_d,med_d2,even,7
fine_med_even_8,20.727153867500057,fine_d,med_d2,even,8
fine_med_even_9,20.01825965999977,fine_d,med_d2,even,9
med_high_burst_1,8.264201982624998,med_d2,high,burst,1
med_high_burst_10,9.788964572625,med_d2,high,burst,10
med_high_burst_2,8.341742072625005,med_d2,high,burst,2
med_high_burst_3,8.167784554375002,med_d2,high,burst,3
med_high_burst_4,8.816166172874999,med_d2,high,burst,4
med_high_burst_5,7.897181115875,med_d2,high,burst,5
med_high_burst_6,8.107663306499997,med_d2,high,burst,6
med_high_burst_7,8.490132338625001,med_d2,high,burst,7
med_high_burst_8,7.858980882875001,med_d2,high,burst,8
med_high_burst_9,7.854675332625002,med_d2,high,burst,9
med_high_even_1,27.392953884375032,med_d2,high,even,1
med_high_even_10,30.74639834962498,med_d2,high,even,10
med_high_even_2,17.828998793875073,med_d2,high,even,2
med_high_even_3,16.941605714375047,med_d2,high,even,3
med_high_even_4,33.304579347625,med_d2,high,even,4
med_high_even_5,16.610606166749992,med_d2,high,even,5
med_high_even_6,20.221614522250007,med_d2,high,even,6
med_high_even_7,18.052810307749947,med_d2,high,even,7
med_high_even_8,17.743837607749956,med_d2,high,even,8
med_high_even_9,16.785541079125004,med_d2,high,even,9
med_low_burst_1,22.08900007500001,med_d2,low,burst,1
med_low_burst_10,20.297944775000026,med_d2,low,burst,10
med_low_burst_2,23.205481787500005,med_d2,low,burst,2
med_low_burst_3,20.916733362500004,med_d2,low,burst,3
med_low_burst_4,19.286458987499984,med_d2,low,burst,4
med_low_burst_5,22.5915416125,med_d2,low,burst,5
med_low_burst_6,18.784144250000043,med_d2,low,burst,6
med_low_burst_7,21.373181250000002,med_d2,low,burst,7
med_low_burst_8,22.75968378750003,med_d2,low,burst,8
med_low_burst_9,19.944335462499993,med_d2,low,burst,9
med_low_even_1,19.064411462499862,med_d2,low,even,1
med_low_even_10,21.365564087500523,med_d2,low,even,10
med_low_even_2,24.05133850000015,med_d2,low,even,2
med_low_even_3,20.91678958749972,med_d2,low,even,3
med_low_even_4,22.436554162499966,med_d2,low,even,4
med_low_even_5,39.31614215000015,med_d2,low,even,5
med_low_even_6,20.134940575000307,med_d2,low,even,6
med_low_even_7,22.21880108750011,med_d2,low,even,7
med_low_even_8,18.762769274999904,med_d2,low,even,8
med_low_even_9,20.900481712500024,med_d2,low,even,9
med_med_burst_1,17.823149254999997,med_d2,med_d2,burst,1
med_med_burst_10,28.770724273750005,med_d2,med_d2,burst,10
med_med_burst_2,17.439372072499992,med_d2,med_d2,burst,2
med_med_burst_3,17.635082485,med_d2,med_d2,burst,3
med_med_burst_4,17.166217537500007,med_d2,med_d2,burst,4
med_med_burst_5,19.385755118750005,med_d2,med_d2,burst,5
med_med_burst_6,17.46467178125,med_d2,med_d2,burst,6
med_med_burst_7,23.363462191249997,med_d2,med_d2,burst,7
med_med_burst_8,17.330852890000003,med_d2,med_d2,burst,8
med_med_burst_9,17.352300931249996,med_d2,med_d2,burst,9
med_med_even_1,29.265125461250012,med_d2,med_d2,even,1
med_med_even_10,27.948022817499847,med_d2,med_d2,even,10
med_med_even_2,25.146794317499793,med_d2,med_d2,even,2
med_med_even_3,30.48269965000002,med_d2,med_d2,even,3
med_med_even_4,23.540209579999885,med_d2,med_d2,even,4
med_med_even_5,23.29180824250009,med_d2,med_d2,even,5
med_med_even_6,22.255596241250164,med_d2,med_d2,even,6
med_med_even_7,22.415906981249933,med_d2,med_d2,even,7
med_med_even_8,22.95995709374995,med_d2,med_d2,even,8
med_med_even_9,23.470767138749967,med_d2,med_d2,even,9
