Experiment_ID,Average_Latency,Granularity,Distribution,Request_Amount,Iteration
coarse_burst_high_1,8.392770428125,coarse,burst,high,1
coarse_burst_high_10,8.312187329163017,coarse,burst,high,10
coarse_burst_high_2,15.19817138909869,coarse,burst,high,2
coarse_burst_high_3,8.684904399374997,coarse,burst,high,3
coarse_burst_high_4,8.656841658374999,coarse,burst,high,4
coarse_burst_high_5,9.072292176624996,coarse,burst,high,5
coarse_burst_high_6,10.207122965124997,coarse,burst,high,6
coarse_burst_high_7,8.579479534249998,coarse,burst,high,7
coarse_burst_high_8,8.023779209875004,coarse,burst,high,8
coarse_burst_high_9,9.004545052500003,coarse,burst,high,9
coarse_burst_low_1,8.983121912500003,coarse,burst,low,1
coarse_burst_low_10,8.112028712499969,coarse,burst,low,10
coarse_burst_low_2,9.89150943749999,coarse,burst,low,2
coarse_burst_low_3,23.508241150000497,coarse,burst,low,3
coarse_burst_low_4,9.379802125000047,coarse,burst,low,4
coarse_burst_low_5,24.491060462500425,coarse,burst,low,5
coarse_burst_low_6,25.11239838749999,coarse,burst,low,6
coarse_burst_low_7,7.238387487499975,coarse,burst,low,7
coarse_burst_low_8,8.815030749999964,coarse,burst,low,8
coarse_burst_low_9,19.136313025000007,coarse,burst,low,9
coarse_burst_med_1,9.682261657499998,coarse,burst,med,1
coarse_burst_med_10,8.11056196249999,coarse,burst,med,10
coarse_burst_med_2,12.791223703750005,coarse,burst,med,2
coarse_burst_med_3,11.860556887500001,coarse,burst,med,3
coarse_burst_med_4,7.5272199175,coarse,burst,med,4
coarse_burst_med_5,8.26396834375,coarse,burst,med,5
coarse_burst_med_6,8.27742542,coarse,burst,med,6
coarse_burst_med_7,8.894639162500008,coarse,burst,med,7
coarse_burst_med_8,9.038409685000003,coarse,burst,med,8
coarse_burst_med_9,8.123326816250001,coarse,burst,med,9
coarse_even_high_1,8.497966407749999,coarse,even,high,1
coarse_even_high_10,10.692196677249997,coarse,even,high,10
coarse_even_high_2,8.712681234625004,coarse,even,high,2
coarse_even_high_3,8.406990125000004,coarse,even,high,3
coarse_even_high_4,8.276786548499999,coarse,even,high,4
coarse_even_high_5,8.584628931375,coarse,even,high,5
coarse_even_high_6,8.726339346750006,coarse,even,high,6
coarse_even_high_7,19.337328364625,coarse,even,high,7
coarse_even_high_8,17.53684492012499,coarse,even,high,8
coarse_even_high_9,10.159461721749997,coarse,even,high,9
coarse_even_low_1,7.604059937499974,coarse,even,low,1
coarse_even_low_10,7.616501049999958,coarse,even,low,10
coarse_even_low_2,8.964441150000008,coarse,even,low,2
coarse_even_low_3,6.965854074999989,coarse,even,low,3
coarse_even_low_4,9.768152525000001,coarse,even,low,4
coarse_even_low_5,9.728699999999957,coarse,even,low,5
coarse_even_low_6,18.063851025000037,coarse,even,low,6
coarse_even_low_7,15.689014049999503,coarse,even,low,7
coarse_even_low_8,7.686373862499951,coarse,even,low,8
coarse_even_low_9,6.979879662499977,coarse,even,low,9
coarse_even_med_1,23.814214803750342,coarse,even,med,1
coarse_even_med_10,13.14783196375,coarse,even,med,10
coarse_even_med_2,21.080797341249973,coarse,even,med,2
coarse_even_med_3,10.245054327500009,coarse,even,med,3
coarse_even_med_4,17.089866950000037,coarse,even,med,4
coarse_even_med_5,10.493598947499997,coarse,even,med,5
coarse_even_med_6,10.277041272500007,coarse,even,med,6
coarse_even_med_7,22.87432419624991,coarse,even,med,7
coarse_even_med_8,22.179280121249896,coarse,even,med,8
coarse_even_med_9,7.590300878749997,coarse,even,med,9
fine_burst_high_1,8.85454026825,fine,burst,high,1
fine_burst_high_10,10.781886487198745,fine,burst,high,10
fine_burst_high_2,9.101795413625007,fine,burst,high,2
fine_burst_high_3,13.745645592125022,fine,burst,high,3
fine_burst_high_4,10.083679505500001,fine,burst,high,4
fine_burst_high_5,16.399568927249994,fine,burst,high,5
fine_burst_high_6,15.271611832875001,fine,burst,high,6
fine_burst_high_7,9.303558453375011,fine,burst,high,7
fine_burst_high_8,9.570331755,fine,burst,high,8
fine_burst_high_9,17.12852794475001,fine,burst,high,9
fine_burst_low_1,7.75011359999993,fine,burst,low,1
fine_burst_low_10,8.237801037499825,fine,burst,low,10
fine_burst_low_2,6.526570825000012,fine,burst,low,2
fine_burst_low_3,8.189670875000022,fine,burst,low,3
fine_burst_low_4,8.20638477500002,fine,burst,low,4
fine_burst_low_5,9.548294249999955,fine,burst,low,5
fine_burst_low_6,8.293978674999996,fine,burst,low,6
fine_burst_low_7,6.922886975000142,fine,burst,low,7
fine_burst_low_8,8.156322399999988,fine,burst,low,8
fine_burst_low_9,8.348782737499983,fine,burst,low,9
fine_burst_med_1,7.447434503846143,fine,burst,med,1
fine_burst_med_2,8.384045091025623,fine,burst,med,2
fine_burst_med_3,7.502026025641039,fine,burst,med,3
fine_burst_med_4,22.367549153846156,fine,burst,med,4
fine_burst_med_5,7.580353062820522,fine,burst,med,5
fine_burst_med_6,7.889498242307687,fine,burst,med,6
fine_burst_med_7,7.634964041025646,fine,burst,med,7
fine_burst_med_8,7.920875812820518,fine,burst,med,8
fine_burst_med_9,8.110566735897436,fine,burst,med,9
fine_even_high_1,21.65067162875001,fine,even,high,1
fine_even_high_10,9.61154331799997,fine,even,high,10
fine_even_high_2,22.331404212000045,fine,even,high,2
fine_even_high_3,12.771905120624922,fine,even,high,3
fine_even_high_4,14.136341926624985,fine,even,high,4
fine_even_high_5,12.344440217249993,fine,even,high,5
fine_even_high_6,14.820298844625018,fine,even,high,6
fine_even_high_7,22.094106953250055,fine,even,high,7
fine_even_high_8,16.740253127499994,fine,even,high,8
fine_even_high_9,13.084319291249944,fine,even,high,9
fine_even_low_1,8.245532262499976,fine,even,low,1
fine_even_low_10,24.253246337501544,fine,even,low,10
fine_even_low_2,7.58938436249999,fine,even,low,2
fine_even_low_3,7.5954067750000345,fine,even,low,3
fine_even_low_4,8.06741816250004,fine,even,low,4
fine_even_low_5,8.940433375000017,fine,even,low,5
fine_even_low_6,7.294244825000007,fine,even,low,6
fine_even_low_7,7.033489550000205,fine,even,low,7
fine_even_low_8,40.70498179999971,fine,even,low,8
fine_even_low_9,28.2463021374998,fine,even,low,9
fine_even_med_1,8.284378433749998,fine,even,med,1
fine_even_med_2,8.943493282499997,fine,even,med,2
fine_even_med_3,8.635545051250002,fine,even,med,3
fine_even_med_4,9.1478727325,fine,even,med,4
fine_even_med_5,8.990977815000003,fine,even,med,5
fine_even_med_6,6.979610717500021,fine,even,med,6
fine_even_med_7,17.43229492374991,fine,even,med,7
fine_even_med_8,20.876629263749884,fine,even,med,8
fine_even_med_9,10.01509524124999,fine,even,med,9
med_burst_high_1,7.923232126374997,med,burst,high,1
med_burst_high_10,9.358481526368779,med,burst,high,10
med_burst_high_2,8.332576556874995,med,burst,high,2
med_burst_high_3,17.498035140000017,med,burst,high,3
med_burst_high_4,9.84902162025,med,burst,high,4
med_burst_high_5,12.022307098625,med,burst,high,5
med_burst_high_6,14.306516412221391,med,burst,high,6
med_burst_high_7,9.060401940500002,med,burst,high,7
med_burst_high_8,8.429437927374996,med,burst,high,8
med_burst_high_9,10.422690496625004,med,burst,high,9
med_burst_low_1,8.948861912500039,med,burst,low,1
med_burst_low_10,7.719544787500143,med,burst,low,10
med_burst_low_2,14.963164024999998,med,burst,low,2
med_burst_low_3,14.735834924999997,med,burst,low,3
med_burst_low_4,8.61125158749998,med,burst,low,4
med_burst_low_5,7.917908837499982,med,burst,low,5
med_burst_low_6,7.199792150000017,med,burst,low,6
med_burst_low_7,7.783732787500003,med,burst,low,7
med_burst_low_8,8.985680174999999,med,burst,low,8
med_burst_low_9,7.641830175000008,med,burst,low,9
med_burst_med_1,15.146935447500036,med,burst,med,1
med_burst_med_10,7.506598439999992,med,burst,med,10
med_burst_med_2,21.19292386250004,med,burst,med,2
med_burst_med_3,9.734211031250005,med,burst,med,3
med_burst_med_4,23.361495337499942,med,burst,med,4
med_burst_med_5,7.850562436249994,med,burst,med,5
med_burst_med_6,9.801811463749997,med,burst,med,6
med_burst_med_7,20.53490964499995,med,burst,med,7
med_burst_med_8,7.691936991250003,med,burst,med,8
med_burst_med_9,8.098280503749995,med,burst,med,9
med_even_high_1,18.966798590750017,med,even,high,1
med_even_high_10,9.042557625375006,med,even,high,10
med_even_high_2,12.749224889624994,med,even,high,2
med_even_high_3,18.115562448875,med,even,high,3
med_even_high_4,9.7063759595,med,even,high,4
med_even_high_5,9.866623606125001,med,even,high,5
med_even_high_6,11.805577912625,med,even,high,6
med_even_high_7,10.640602711999996,med,even,high,7
med_even_high_8,7.885391245010314,med,even,high,8
med_even_high_9,8.397591122750004,med,even,high,9
med_even_low_1,10.296841174999994,med,even,low,1
med_even_low_10,7.282119237500001,med,even,low,10
med_even_low_2,7.634802150000015,med,even,low,2
med_even_low_3,7.491590074999799,med,even,low,3
med_even_low_4,7.533325999999974,med,even,low,4
med_even_low_5,7.584248375000013,med,even,low,5
med_even_low_6,8.678729737499967,med,even,low,6
med_even_low_7,7.815325525000017,med,even,low,7
med_even_low_8,6.790932212499979,med,even,low,8
med_even_low_9,7.169191687500032,med,even,low,9
med_even_med_1,9.203367473749992,med,even,med,1
med_even_med_10,9.40115329375,med,even,med,10
med_even_med_2,9.381142868749995,med,even,med,2
med_even_med_3,22.22257852250001,med,even,med,3
med_even_med_4,7.880980458750003,med,even,med,4
med_even_med_5,9.425220916250005,med,even,med,5
med_even_med_6,9.380425797499996,med,even,med,6
med_even_med_7,7.902140736250008,med,even,med,7
med_even_med_8,21.206938817499985,med,even,med,8
med_even_med_9,9.696178028750007,med,even,med,9
